fixture_id,season,date,competition,home_team,away_team,home_id,away_id,home_goals,away_goals,home_corners,home_yellow,home_red,home_fouls,home_shots,home_shots_ot,home_possession,home_passes,home_saves,away_corners,away_yellow,away_red,away_fouls,away_shots,away_shots_ot,away_possession,away_passes,away_saves
1153068,2024,2024-01-19,Liga BetPlay,Patriotas,Jaguares,1140,1133,0,1,10,1,0,9,35,10,61.0,399,1,2,0,0,7,4,2,39.0,276,11
1153064,2024,2024-01-20,Liga BetPlay,Deportivo Pereira,Deportivo Cali,1462,1127,2,2,7,4,0,7,14,5,54.0,412,1,4,3,0,11,7,3,46.0,369,2
1153062,2024,2024-01-20,Liga BetPlay,Once Caldas,Chico,1136,1132,2,1,4,3,2,16,12,3,36.0,235,5,4,3,1,11,20,6,64.0,411,1
1153061,2024,2024-01-20,Liga BetPlay,Deportes Tolima,Fortaleza FC,1142,1147,1,2,8,3,0,12,18,3,64.0,501,2,4,4,0,11,6,4,36.0,291,2
1153067,2024,2024-01-21,Liga BetPlay,America de Cali,Águilas Doradas,1138,1144,0,1,11,1,0,9,15,4,65.0,433,0,2,3,0,8,6,1,35.0,242,4
1153066,2024,2024-01-21,Liga BetPlay,Millonarios,Independiente Medellin,1125,1128,5,0,1,4,0,16,13,8,39.0,295,1,3,3,0,10,9,1,61.0,476,2
1153065,2024,2024-01-21,Liga BetPlay,Junior,Bucaramanga,1135,1131,2,0,6,1,0,6,4,3,63.0,544,3,2,2,0,11,12,3,37.0,326,1
1153070,2024,2024-01-22,Liga BetPlay,Atletico Nacional,Alianza Valledupar,1137,1141,3,1,2,4,0,13,11,4,59.0,515,1,5,2,0,11,7,1,41.0,350,1
1153069,2024,2024-01-22,Liga BetPlay,Internacional de Bogota,Envigado,1134,1129,0,0,9,1,0,17,24,6,44.0,268,2,3,4,0,9,9,2,56.0,367,6
1153063,2024,2024-01-23,Liga BetPlay,Deportivo Pasto,Santa Fe,1126,1139,0,1,4,3,0,13,10,1,57.0,458,0,0,2,0,6,7,1,43.0,358,2
1153098,2024,2024-02-05,Liga BetPlay,Chico,Deportivo Pereira,1132,1462,1,2,6,2,1,9,12,2,51.0,362,4,8,2,0,11,12,5,49.0,337,1
1153093,2024,2024-02-05,Liga BetPlay,Deportivo Pasto,Jaguares,1126,1133,1,1,4,2,0,12,17,7,54.0,398,4,2,3,0,10,12,5,46.0,342,7
1153100,2024,2024-02-06,Liga BetPlay,Independiente Medellin,Deportivo Cali,1128,1127,1,0,3,4,1,15,13,2,41.0,296,7,6,5,1,8,15,7,59.0,419,1
1153092,2024,2024-02-06,Liga BetPlay,Once Caldas,Internacional de Bogota,1136,1134,0,0,16,3,1,13,18,3,67.0,493,3,2,1,0,7,13,3,33.0,256,3
1153097,2024,2024-02-07,Liga BetPlay,Santa Fe,Bucaramanga,1139,1131,0,1,12,2,0,13,18,5,60.0,409,5,3,2,0,13,11,6,40.0,281,4
