home_wins_5,home_draws_5,home_losses_5,home_gf_5,home_ga_5,away_wins_5,away_draws_5,away_losses_5,away_gf_5,away_ga_5,home_home_wins,home_home_draws,home_home_losses,away_away_wins,away_away_draws,away_away_losses,h2h_home_ratio,h2h_draw_ratio,elo_diff,elo_home_expected,home_pts_per_game,away_pts_per_game,result
0,1,2,4,7,2,1,0,6,3,0,1,1,0,1,0,0.45,0.27,-69.87,0.5433,0.3333,2.3333,1
1,1,1,2,3,1,0,2,5,6,1,1,0,1,0,0,0.45,0.27,5.77,0.6477,1.3333,1.0,0
0,1,2,2,6,0,1,2,1,4,0,0,2,0,1,0,0.45,0.27,-8.87,0.6282,0.3333,0.3333,2
2,0,1,5,5,1,2,0,8,4,1,0,0,0,1,0,0.45,0.27,-3.86,0.6349,2.0,1.6667,1
2,1,0,10,5,0,1,2,4,7,1,0,0,0,0,2,0.45,0.27,81.05,0.7393,2.3333,0.3333,0
0,3,0,2,2,1,0,2,4,7,0,2,0,0,0,1,0.45,0.27,26.34,0.6742,1.0,1.0,0
3,0,0,6,1,1,1,1,1,3,1,1,1,0,0,1,0.45,0.27,85.62,0.7443,3.0,1.3333,0
1,0,2,4,5,2,0,1,4,3,1,0,0,1,0,0,0.45,0.27,-21.97,0.6104,1.0,2.0,0
1,1,1,4,5,2,0,1,4,7,0,1,0,2,0,0,0.45,0.27,-22.02,0.6104,1.3333,2.0,0
0,0,3,2,5,0,0,3,0,6,0,0,2,0,0,1,0.45,0.27,12.66,0.6567,0.0,0.0,1
1,2,0,6,3,0,1,2,2,6,0,2,0,0,0,1,0.45,0.27,76.38,0.7341,1.6667,0.3333,1
1,1,1,5,4,1,0,2,5,6,1,1,0,0,0,2,0.45,0.27,11.18,0.6548,1.3333,1.0,2
3,0,0,6,1,1,1,1,3,5,1,0,0,1,1,0,0.45,0.27,74.39,0.7318,3.0,1.3333,0
2,0,1,9,5,1,0,2,6,4,1,0,1,0,0,1,0.45,0.27,31.54,0.6807,2.0,1.0,0
1,1,1,3,4,0,0,3,2,7,0,1,0,0,0,1,0.45,0.27,62.51,0.7182,1.3333,0.0,1
0,2,1,5,6,1,2,0,5,2,0,0,1,0,1,0,0.45,0.27,-30.95,0.5981,0.6667,1.6667,0
1,1,1,4,7,2,0,1,6,3,0,1,0,1,0,1,0.45,0.27,-40.71,0.5845,1.3333,2.0,1
1,1,1,4,5,1,1,1,7,6,1,0,0,1,0,0,0.45,0.27,0.02,0.6401,1.3333,1.3333,0
0,3,0,2,2,2,0,1,4,4,0,2,0,0,0,1,0.45,0.27,-17.5,0.6165,1.0,2.0,0
0,1,2,2,6,1,2,0,4,2,0,0,1,0,1,0,0.45,0.27,-57.77,0.5605,0.3333,1.6667,2
2,1,0,6,2,0,2,1,1,2,1,0,0,0,0,1,0.45,0.27,61.25,0.7167,2.3333,0.6667,0
0,1,2,3,5,2,0,1,6,4,0,0,1,1,0,0,0.45,0.27,-51.51,0.5693,0.3333,2.0,1
2,0,1,4,3,2,1,0,6,3,0,0,1,1,1,0,0.45,0.27,-23.56,0.6083,2.0,2.3333,2
1,1,1,2,2,1,0,2,2,5,0,0,1,1,0,1,0.45,0.27,29.78,0.6785,1.3333,1.0,0
2,1,0,6,3,2,0,1,8,6,1,0,0,1,0,1,0.45,0.27,12.81,0.6569,2.3333,2.0,0
2,1,0,5,3,2,0,1,4,4,1,1,0,0,0,1,0.45,0.27,20.33,0.6666,2.3333,2.0,0
3,0,0,9,2,3,0,0,11,3,1,0,0,1,0,0,0.45,0.27,6.72,0.6489,3.0,3.0,1
2,2,0,8,3,1,3,0,4,2,1,1,0,0,1,0,0.45,0.27,36.33,0.6867,2.0,1.5,2
2,0,2,4,8,2,0,2,5,5,0,0,1,0,0,2,0.45,0.27,7.81,0.6504,1.5,1.5,0
2,0,1,10,4,0,2,1,7,9,1,0,0,0,0,1,0.45,0.27,73.86,0.7312,2.0,0.6667,0
